Object ID,Class Label,Estimated Distance (cm),Ground Truth Distance (cm),Error (cm)
3,C - N -B - L,16.62369306465683,16.5,0.12369306465683039
3,C - N -B - L,16.565258716323584,16.5,0.0652587163235836
3,C - N -B - L,16.504869725815393,16.5,0.004869725815392911
3,C - N -B - L,16.61113339240033,16.5,0.11113339240032971
3,C - N -B - L,16.50880867436818,16.5,0.008808674368179226
3,C - N -B - L,16.614259628601424,16.5,0.11425962860142391
3,C - N -B - L,16.53414000627143,16.5,0.03414000627142855
3,C - N -B - L,16.486077901873884,16.5,0.013922098126116111
3,C - N -B - L,16.378946920974098,16.5,0.12105307902590212
3,C - N -B - L,16.346491292726594,16.5,0.1535087072734065
3,C - N -B - L,16.594628317190747,16.5,0.09462831719074671
3,C - N -B - L,16.496363444860336,16.5,0.0036365551396642104
3,C - N -B - L,16.811501892585298,16.5,0.3115018925852979
3,C - N -B - L,16.549617870787834,16.5,0.049617870787834306
3,C - N -B - L,16.653685473687986,16.5,0.15368547368798602
3,C - N -B - L,16.481309326813236,16.5,0.018690673186764428
3,C - N -B - L,16.549109880791335,16.5,0.049109880791334604
3,C - N -B - L,16.701276752478627,16.5,0.20127675247862697
3,C - N -B - L,16.69982028115389,16.5,0.19982028115389028
3,C - N -B - L,16.774272593704225,16.5,0.2742725937042252
3,C - N -B - L,16.290581902737927,16.5,0.2094180972620734
3,C - N -B - L,16.48473371216466,16.5,0.015266287835338233
3,C - N -B - L,16.546327026986887,16.5,0.046327026986887176
3,C - N -B - L,16.558330499495806,16.5,0.058330499495806265
3,C - N -B - L,16.867299263270546,16.5,0.36729926327054585
3,C - N -B - L,16.561686529075885,16.5,0.06168652907588523
3,C - N -B - L,16.67711505389339,16.5,0.17711505389339166
3,C - N -B - L,16.585010324887147,16.5,0.08501032488714699
3,C - N -B - L,16.607876591908294,16.5,0.10787659190829402
3,C - N -B - L,16.5857314700502,16.5,0.08573147005019877
3,C - N -B - L,16.421248551364737,16.5,0.07875144863526273
3,C - N -B - L,16.724730678766125,16.5,0.22473067876612518
3,C - N -B - L,16.701065814832894,16.5,0.20106581483289432
3,C - N -B - L,16.601757350741714,16.5,0.10175735074171399
3,C - N -B - L,16.58367695544686,16.5,0.08367695544686171
3,C - N -B - L,16.41123366810305,16.5,0.08876633189694871
3,C - N -B - L,16.46993040905687,16.5,0.030069590943128333
